manufacturer_id,model,category,sensor_format_inch,sensor_w_mm,sensor_h_mm,sensor_diag_mm,resolution_w,resolution_h,pixel_size_um,mount_type,data_interface,max_fps_full,price_usd
1,acA1920-40um,area_scan_cmos,1/2,6.40,4.80,8.00,1920,1080,3.45,C-mount,USB3.0,40.0,349.0
1,acA2440-20um,area_scan_cmos,2/3,8.80,6.60,11.00,2448,2048,3.45,C-mount,USB3.0,20.0,499.0
1,acA2500-14um,area_scan_cmos,1/2.3,6.16,4.62,7.70,2592,1944,2.20,C-mount,USB3.0,14.0,299.0
1,acA3800-10um,area_scan_cmos,1/1.8,7.18,5.32,8.93,3840,2748,1.67,C-mount,USB3.0,10.0,549.0
2,BFS-PGE-04S2M,area_scan_cmos,1/2.3,6.16,4.62,7.70,720,540,3.00,C-mount,GigE,291.0,199.0
2,BFS-PGE-13Y3M,area_scan_cmos,1/2,6.40,4.80,8.00,1280,1024,4.80,C-mount,GigE,149.0,249.0
2,BFS-PGE-16S2M,area_scan_cmos,1/2.9,5.12,3.84,6.40,1440,1080,3.45,C-mount,GigE,78.0,279.0
2,BFS-PGE-31S4M,area_scan_cmos,1/1.8,7.18,5.32,8.93,2048,1536,3.45,C-mount,GigE,35.0,349.0
2,BFS-PGE-50S5M,area_scan_cmos,2/3,8.80,6.60,11.00,2448,2048,3.45,C-mount,GigE,22.0,449.0
2,BFS-PGE-89S6M,area_scan_cmos,1,12.80,9.60,16.00,4096,3000,3.10,C-mount,GigE,13.0,899.0
2,BFS-PGE-123S6M,area_scan_cmos,1.1,14.10,10.30,17.50,4096,3000,3.45,C-mount,GigE,9.0,1299.0
6,MER2-301-125U3M,area_scan_cmos,1/1.8,7.18,5.32,8.93,2048,1536,3.45,C-mount,USB3.0,125.0,299.0
6,MER2-502-79U3M,area_scan_cmos,2/3,8.80,6.60,11.00,2448,2048,3.45,C-mount,USB3.0,79.0,349.0
6,MER2-2000-19U3M,area_scan_cmos,1,12.80,9.60,16.00,5472,3648,2.40,C-mount,USB3.0,19.0,599.0
8,BFS-U3-04S2M,area_scan_cmos,1/2.3,6.16,4.62,7.70,720,540,3.00,C-mount,USB3.0,291.0,199.0
8,BFS-U3-16S2M,area_scan_cmos,1/2.9,5.12,3.84,6.40,1440,1080,3.45,C-mount,USB3.0,78.0,279.0
8,BFS-U3-50S5M,area_scan_cmos,2/3,8.80,6.60,11.00,2448,2048,3.45,C-mount,USB3.0,22.0,449.0
8,BFS-U3-89S6M,area_scan_cmos,1,12.80,9.60,16.00,4096,3000,3.10,C-mount,USB3.0,13.0,899.0
3,STC-TB33USB-ASH,area_scan_cmos,1/3,4.80,3.60,6.00,1024,768,4.65,C-mount,USB2.0,30.0,199.0
3,STC-TB52USB-ASH,area_scan_cmos,1/2.3,6.16,4.62,7.70,2048,1536,2.80,C-mount,USB2.0,15.0,299.0
4,IC-M5S-IR1030,area_scan_cmos,1/2,6.40,4.80,8.00,1280,1024,5.00,C-mount,USB2.0,30.0,159.0
4,IC-M5S-IR2050,area_scan_cmos,2/3,8.80,6.60,11.00,2448,2048,3.45,C-mount,USB3.0,30.0,349.0
5,SVS-VISTEKhrmexo267MU,area_scan_cmos,1/2.3,6.16,4.62,7.70,1920,1200,2.90,C-mount,USB3.0,60.0,279.0
5,SVS-VISTEKevo4070MU,area_scan_cmos,1/1.8,7.18,5.32,8.93,3072,2048,2.20,C-mount,USB3.0,40.0,499.0
7,DFK-33UX264,area_scan_cmos,1/2.3,6.16,4.62,7.70,2448,2048,2.40,C-mount,USB3.0,36.0,399.0
7,DFK-37UX264,area_scan_cmos,1/1.8,7.18,5.32,8.93,2448,2048,2.90,C-mount,USB3.0,30.0,499.0
9,BFS-PGE-122S6M,area_scan_cmos,1.1,14.10,10.30,17.50,4096,3000,3.45,C-mount,GigE,9.0,1599.0
9,BFLY-PGE-50A2M,area_scan_cmos,2/3,8.80,6.60,11.00,2448,2048,3.45,C-mount,GigE,22.0,449.0
10,MU3S640M,area_scan_cmos,1/4,3.20,2.40,4.00,640,480,5.00,C-mount,USB3.0,220.0,99.0
10,MU3S1200M,area_scan_cmos,1/3,4.80,3.60,6.00,1280,1024,3.75,C-mount,USB3.0,120.0,149.0
10,MU3S210M,area_scan_cmos,1/1.8,7.18,5.32,8.93,1920,1200,3.45,C-mount,USB3.0,60.0,249.0
