manufacturer_id,model,category,status,focal_length_mm,max_aperture,image_circle_mm,min_working_distance_mm,max_working_distance_mm,mount_type,length_mm,weight_g,price_usd
1,MVL-HF0828M-6MPE,fa,active,8.0,2.8,8.5,100.0,,C-mount,35.0,65.0,89.0
1,MVL-HF1228M-6MPE,fa,active,12.0,2.8,11.0,100.0,,C-mount,35.0,65.0,89.0
1,MVL-HF1628M-6MPE,fa,active,16.0,2.8,11.0,100.0,,C-mount,35.0,65.0,89.0
1,MVL-HF2528M-6MPE,fa,active,25.0,2.8,11.0,100.0,,C-mount,35.0,65.0,89.0
1,MVL-HF3528M-6MPE,fa,active,35.0,2.8,11.0,100.0,,C-mount,35.0,65.0,99.0
1,MVL-HF5028M-6MPE,fa,active,50.0,2.8,11.0,200.0,,C-mount,40.0,80.0,129.0
2,59872,fa,active,16.0,1.4,11.0,100.0,,C-mount,33.0,55.0,249.0
2,59873,fa,active,25.0,1.4,11.0,100.0,,C-mount,33.0,55.0,249.0
2,59874,fa,active,35.0,1.4,11.0,150.0,,C-mount,33.0,60.0,279.0
2,59875,fa,active,50.0,1.4,11.0,200.0,,C-mount,38.0,75.0,299.0
3,H0514-MP2,fa,active,5.0,1.4,8.5,100.0,,C-mount,35.0,70.0,199.0
3,H0814-MP2,fa,active,8.0,1.4,8.5,100.0,,C-mount,35.0,65.0,189.0
3,H1214-MP2,fa,active,12.0,1.4,11.0,100.0,,C-mount,35.0,65.0,189.0
3,H1614-MP2,fa,active,16.0,1.4,11.0,100.0,,C-mount,35.0,65.0,189.0
3,H2514-MP2,fa,active,25.0,1.4,11.0,100.0,,C-mount,35.0,65.0,189.0
3,H3514-MP2,fa,active,35.0,1.4,11.0,150.0,,C-mount,35.0,65.0,199.0
4,LM16HC,fa,active,16.0,2.8,11.0,100.0,,C-mount,35.0,60.0,179.0
4,LM25HC,fa,active,25.0,2.8,11.0,100.0,,C-mount,35.0,60.0,179.0
4,LM35HC,fa,active,35.0,2.8,11.0,150.0,,C-mount,35.0,60.0,179.0
4,LM50HC,fa,active,50.0,2.8,11.0,200.0,,C-mount,40.0,75.0,199.0
5,VS-0818H1,fa,active,8.0,1.8,8.5,100.0,,C-mount,35.0,65.0,169.0
5,VS-1218H1,fa,active,12.0,1.8,11.0,100.0,,C-mount,35.0,65.0,169.0
5,VS-1618H1,fa,active,16.0,1.8,11.0,100.0,,C-mount,35.0,65.0,169.0
5,VS-2518H1,fa,active,25.0,1.8,11.0,100.0,,C-mount,35.0,65.0,169.0
5,VS-3518H1,fa,active,35.0,1.8,11.0,150.0,,C-mount,35.0,65.0,179.0
6,MVL-KF1624M-12MP,fa,active,16.0,2.4,14.1,100.0,,C-mount,45.0,85.0,149.0
6,MVL-KF2524M-12MP,fa,active,25.0,2.4,14.1,100.0,,C-mount,45.0,85.0,149.0
6,MVL-KF3524M-12MP,fa,active,35.0,2.4,14.1,150.0,,C-mount,45.0,85.0,149.0
