manufacturer_id,model,category,status,focal_length_mm,focal_length_min,focal_length_max,max_aperture,image_circle_mm,min_working_distance_mm,max_working_distance_mm,nominal_wd_mm,mount_type,length_mm,weight_g,price_usd,na,wavelength_min_nm,wavelength_max_nm,distortion_percent
15,Zeiss Plan-Apochromat 10x/0.45,microscope,active,10,,,0.45,22.0,,,,RMS,35,15,1500,0.45,,,
15,Zeiss Plan-Apochromat 20x/0.8,microscope,active,20,,,0.8,22.0,,,,RMS,38,18,2000,0.8,,,
15,Zeiss Plan-Apochromat 40x/0.95,microscope,active,40,,,0.95,22.0,,,,RMS,42,22,2500,0.95,,,
17,Olympus UPLFLN 60x/1.25,microscope,active,60,,,1.25,22.0,,,,RMS,45,25,3000,1.25,,,
17,Olympus UPLFLN 100x/1.4 oil,microscope,active,100,,,1.4,22.0,,,,RMS,48,30,4000,1.4,,,
15,Zeiss Stereo Discovery.V8,microscope_stereo,active,0.8,0.8,5.6,0.1,20.0,,,,C-mount,250,1200,5000,0.1,,,
17,Olympus SZX7,microscope_stereo,active,0.7,0.7,5.6,0.1,20.0,,,,C-mount,220,1100,4500,0.1,,,
2,Edmund Optics 20x Plan Achromat,microscope,active,20,,,0.4,20.0,,,,RMS,30,12,400,0.4,,,
16,Leica N PLAN 40x/0.65,microscope,active,40,,,0.65,22.0,,,,RMS,40,20,1800,0.65,,,
15,Zeiss EC Plan-Neofluar 5x/0.16,microscope,active,5,,,0.16,22.0,,,,RMS,30,10,800,0.16,,,
