manufacturer_id,model,category,status,focal_length_mm,focal_length_min,focal_length_max,max_aperture,image_circle_mm,min_working_distance_mm,max_working_distance_mm,nominal_wd_mm,mount_type,length_mm,weight_g,price_usd,na,wavelength_min_nm,wavelength_max_nm,distortion_percent
12,Canon EF 50mm f/1.8 STM,photography,active,50,,,1.8,43.3,,,,EF,40,160,125,,,,
12,Canon EF 85mm f/1.8 USM,photography,active,85,,,1.8,43.3,,,,EF,72,425,420,,,,
12,Canon RF 85mm f/1.2L USM,photography,active,85,,,1.2,43.3,,,,RF,120,1100,2700,,,,
13,Nikon Z 35mm f/1.8 S,photography,active,35,,,1.8,43.3,,,,Z-mount,86,370,850,,,,
14,Sony FE 24mm f/1.4 GM,photography,active,24,,,1.4,43.3,,,,E-mount,75,445,1400,,,,
12,Canon EF 16-35mm f/2.8L III USM,photography,active,16,16,35,2.8,43.3,,,,EF,128,790,1900,,,,
14,Sony FE 70-200mm f/2.8 GM OSS II,photography,active,70,70,200,2.8,43.3,,,,E-mount,200,1480,2600,,,,
20,Fujifilm XF 56mm f/1.2 R,photography,active,56,,,1.2,28.3,,,,X-mount,73,405,1000,,,,
19,Sigma 24-70mm f/2.8 DG DN Art,photography,active,24,24,70,2.8,43.3,,,,L-mount,123,835,1100,,,,
12,Canon EF 100mm f/2.8L Macro IS USM,photography,active,100,,,2.8,43.3,,,,EF,123,625,600,,,,
15,Zeiss Milvus 50mm f/1.4,photography,active,50,,,1.4,43.3,,,,EF,109,922,1200,,,,
14,Sony FE 85mm f/1.8,photography,active,85,,,1.8,43.3,,,,E-mount,82,371,600,,,,
13,Nikon Z 70-200mm f/2.8 VR S,photography,active,70,70,200,2.8,43.3,,,,Z-mount,220,1440,2600,,,,
13,Nikon Z 14-24mm f/2.8 S,photography,active,14,14,24,2.8,43.3,,,,Z-mount,125,650,2400,,,,
12,Canon RF 24-105mm f/4L IS USM,photography,active,24,24,105,4.0,43.3,,,,RF,117,700,1100,,,,
14,Sony FE 16-35mm f/2.8 GM,photography,active,16,16,35,2.8,43.3,,,,E-mount,100,680,2200,,,,
14,Sony FE 90mm f/2.8 Macro G OSS,photography,active,90,,,2.8,43.3,,,,E-mount,130,600,1100,,,,
14,Sony FE 135mm f/1.8 GM,photography,active,135,,,1.8,43.3,,,,E-mount,125,950,2000,,,,
