name,name_en,country,website,is_verified
Basler,Basler,DE,https://www.baslerweb.com,1
Edmund Optics,Edmund Optics,US,https://www.edmundoptics.com,1
Computar,Computar,JP,https://www.computar.com,1
Kowa,Kowa,JP,https://www.kowa.co.jp,1
VST,VST,JP,https://www.vst.co.jp,1
海康机器人,Hikrobotics,CN,https://www.hikrobotics.com,1
MindVision,MindVision,CN,https://www.mindvision.com.cn,1
Daheng Imaging,Daheng Imaging,CN,https://www.daheng-imaging.com,1
FLIR,FLIR,US,https://www.flir.com,1
ToupTek,ToupTek,CN,https://www.touptek.com,1
Canon,Canon,JP,https://www.canon.com,1
Nikon,Nikon,JP,https://www.nikon.com,1
Sony,Sony,JP,https://www.sony.com,1
Zeiss,Zeiss,DE,https://www.zeiss.com,1
Leica,Leica,DE,https://www.leica-camera.com,1
Olympus,Olympus,JP,https://www.olympus-lifescience.com,1
Hamamatsu,Hamamatsu,JP,https://www.hamamatsu.com,1
Sigma,Sigma,JP,https://www.sigma-global.com,1
Fujifilm,Fujifilm,JP,https://www.fujifilm.com,1
